id,name,department,description,tags,sns_link,application_period,application_form,booth_location
40,KCC,연구/학술분과,"KCC(한국상경학회)는 1963년부터 지금까지 62년의 전통을 이어오고 있는 고려대, 동국대, 성균관대, 숙명여대, 연세대, 이화여대 6개 학교의 연합 경영/경제 학술 동아리이다.","경영, 경제",https://www.instagram.com/kcc_dongguk/,미공개,미공개,미공개
41,MECS,연구/학술분과,"동국대학교 중앙 영어회화 동아리로, 한국인과 외국인 부원들이 함께 영어 회화 스터디를 진행하며 친목을 다지는 활동을 한다.","영어회화, 글로벌",https://www.instagram.com/mecs._.tagram/,미공개,미공개,미공개
42,NSA,연구/학술분과,"NSA(자연과학연구회)는 동국대학교 유일 천문학, 천체관측 동아리로 밤하늘의 별을 좋아하는 사람들의 모임이다.","천문학, 별",https://www.instagram.com/dgu_nsa/,상시 모집,https://docs.google.com/forms/d/e/1FAIpQLSdlt21aW1gnev6iGqez3AZltH3vzTucZwWW1ac_IvcooEvCkw/viewform,미공개
43,상록수커피클럽,연구/학술분과,"‘맛있는 커피 한잔을 즐기는 것’을 목표로 하는 스페셜티커피 중앙 동아리이다.","커피, 바리스타",https://www.instagram.com/scc_dgu/,미공개,미공개,미공개
44,"The 라온하제",연구/학술분과,"중앙 동물•환경 동아리로 매년 하나의 야생동물을 주제로 선정해 서식지 답사를 다니고 있다.","동물, 환경, 야생동물",https://www.instagram.com/theraonase/,미공개,미공개,미공개
45,그리고그림,예창분과,"실력과 상관없이, 편안한 분위기 속에서 부원들과 함께 그림을 그리고 다양한 미술 활동을 즐길 수 있는 미술 동아리이다.","그림, 미술",https://www.instagram.com/grigogrim_dgu/,미공개,미공개,미공개
46,동국문학회,예창분과,"포근한 소파에서 자신이 좋아하는 글을 나눌 수 있는 동아리이다.","문학, 글",https://www.instagram.com/dongguk_munhak/,미공개,미공개,미공개
47,동국서도회,예창분과,"우리 학교를 졸업하신 선배님들께 직접 서예를 배우고 실력을 기를 수 있는 동아리이다",서예,-,미공개,미공개,미공개
48,동그라미,예창분과,"동글몽글해지는 추억을 만들어 사진으로 기록하는 낭만 가득한 사진 동아리이다.",사진,https://www.instagram.com/dgrm_photo/,미공개,미공개,미공개
49,디딤돌,예창분과,"영화를 사랑하는 사람들이 모여 함께 영화를 감상하고, 직접 단편 영화를 제작하는 동아리이다.","영화, 영화제작",https://www.instagram.com/didimfilm/,미공개,미공개,미공개
50,만화얼,예창분과,"만화와 애니메이션, 그림을 좋아하는 사람들이 모여 친목을 다지고 창작활동을 하는 동아리이다.","만화, 애니메이션",-,미공개,미공개,미공개
51,애드러쉬,예창분과,"창의적인 생각으로 세상을 표현하는 동국대학교 유일 중앙광고 동아리이다.","광고, 창의성",https://www.instagram.com/dguxadrush/,미공개,미공개,미공개
